IDŐ, ÚTX, DELTAX, FX
 410, 46.124264, 0.000000, 4708.800293
 411, 46.124264, 0.000000, 4708.800293
 412, 46.124264, 0.000000, 4708.800293
 413, 46.124264, 0.000000, 4708.800293
 414, 46.124264, 0.000000, 4708.800293
 415, 46.124264, 0.000000, 4708.800293
 416, 46.124264, 0.000000, 4708.800293
 417, 46.124264, 0.000000, 4708.800293
 418, 46.124264, 0.000000, 4708.800293
 419, 46.124264, 0.000000, 4708.800293
 420, 46.124264, 0.000000, 4708.800293
 421, 46.124264, 0.000000, 4708.800293
 422, 46.124264, 0.000000, 4708.800293
 423, 46.124264, 0.000000, 4708.800293
 424, 46.124264, 0.000000, 4708.800293
 425, 46.124264, 0.000000, 4708.800293
 426, 46.124264, 0.000000, 4708.800293
 427, 46.124264, 0.000000, 4708.800293
 428, 46.124264, 0.000000, 4708.800293
 429, 46.124264, 0.000000, 4708.800293
 430, 46.124264, 0.000000, 4708.800293
 431, 46.124264, 0.000000, 4708.800293
 432, 46.124264, 0.000000, 4708.800293
 433, 46.124264, 0.000000, 4708.800293
 434, 46.124264, 0.000000, 4708.800293
 435, 46.124264, 0.000000, 4708.800293
 436, 46.124264, 0.000000, 4708.800293
 437, 46.124264, 0.000000, 4708.800293
 438, 46.124264, 0.000000, 4708.800293
 439, 46.124264, 0.000000, 4708.800293
 440, 46.124264, 0.000000, 4708.800293
 441, 46.124264, 0.000000, 4708.800293
 442, 46.124264, 0.000000, 4708.800293
 443, 46.124264, 0.000000, 4708.800293
 444, 46.124264, 0.000000, 4708.800293
 445, 46.124264, 0.000000, 4708.800293
 446, 46.124264, 0.000000, 4708.800293
 447, 46.124264, 0.000000, 4708.800293
 448, 46.124264, 0.000000, 4708.800293
 449, 46.124264, 0.000000, 4708.800293
 450, 46.124264, 0.000000, 4708.800293
 451, 46.124264, 0.000000, 4708.800293
 452, 46.124264, 0.000000, 4708.800293
 453, 46.124264, 0.000000, 4708.800293
 454, 46.124264, 0.000000, 4708.800293
 455, 46.124264, 0.000000, 4708.800293
 456, 46.124264, 0.000000, 4708.800293
 457, 46.124264, 0.000000, 4708.800293
 458, 46.124264, 0.000000, 4708.800293
 459, 46.124264, 0.000000, 4708.800293
 460, 46.124264, 0.000000, 4708.800293
 461, 46.124264, 0.000000, 4708.800293
 462, 46.124264, 0.000000, 4708.800293
 463, 46.124264, 0.000000, 4708.800293
 464, 46.124264, 0.000000, 4708.800293
 465, 46.124264, 0.000000, 4708.800293
 466, 46.124264, 0.000000, 4708.800293
 467, 46.124264, 0.000000, 4708.800293
 468, 46.124264, 0.000000, 4708.800293
 469, 46.124264, 0.000000, 4708.800293
 470, 46.124264, 0.000000, 4708.800293
 471, 46.124264, 0.000000, 4708.800293
 472, 46.124264, 0.000000, 4708.800293
 473, 46.124264, 0.000000, 4708.800293
 474, 46.124264, 0.000000, 4708.800293
 475, 46.124264, 0.000000, 4708.800293
 476, 46.124264, 0.000000, 4708.800293
 477, 46.124264, 0.000000, 4708.800293
 478, 46.124264, 0.000000, 4708.800293
 479, 46.124264, 0.000000, 4708.800293
 480, 46.124264, 0.000000, 4708.800293
 481, 46.124264, 0.000000, 4708.800293
 482, 46.124264, 0.000000, 4708.800293
 483, 46.124264, 0.000000, 4708.800293
 484, 46.124264, 0.000000, 4708.800293
 485, 46.124264, 0.000000, 4708.800293
 486, 46.124264, 0.000000, 4708.800293
 487, 46.124264, 0.000000, 4708.800293
 488, 46.124264, 0.000000, 4708.800293
 489, 46.124264, 0.000000, 4708.800293
 490, 46.124264, 0.000000, 4708.800293
 491, 46.124264, 0.000000, 4708.800293
 492, 46.124264, 0.000000, 4708.800293
 493, 46.124264, 0.000000, 4708.800293
 494, 46.124264, 0.000000, 4708.800293
 495, 46.124264, 0.000000, 4708.800293
 496, 46.124264, 0.000000, 4708.800293
 497, 46.124264, 0.000000, 4708.800293
 498, 46.124264, 0.000000, 4708.800293
 499, 46.124264, 0.000000, 4708.800293
 500, 46.124264, 0.000000, 4708.800293
 501, 46.124264, 0.000000, 4708.800293
 502, 46.124264, 0.000000, 4708.800293
 503, 46.124264, 0.000000, 4708.800293
 504, 46.124264, 0.000000, 4708.800293
 505, 46.124264, 0.000000, 4708.800293
 506, 46.124264, 0.000000, 4708.800293
 507, 46.124264, 0.000000, 4708.800293
 508, 46.124264, 0.000000, 4708.800293
 509, 46.124264, 0.000000, 4708.800293
 510, 46.124264, 0.000000, 4708.800293
 511, 46.124264, 0.000000, 4708.800293
 512, 46.124264, 0.000000, 4708.800293
 513, 46.124264, 0.000000, 4708.800293
 514, 46.124264, 0.000000, 4708.800293
 515, 46.124264, 0.000000, 4708.800293
 516, 46.124264, 0.000000, 4708.800293
 517, 46.124264, 0.000000, 4708.800293
 518, 46.124264, 0.000000, 4708.800293
 519, 46.124264, 0.000000, 4708.800293
 520, 46.124264, 0.000000, 4708.800293
 521, 46.124264, 0.000000, 4708.800293
 522, 46.124264, 0.000000, 4708.800293
 523, 46.124264, 0.000000, 4708.800293
 524, 46.124264, 0.000000, 4708.800293
 525, 46.124264, 0.000000, 4708.800293
 526, 46.124264, 0.000000, 4708.800293
 527, 46.124264, 0.000000, 4708.800293
 528, 46.124264, 0.000000, 4708.800293
 529, 46.124264, 0.000000, 4708.800293
 530, 46.124264, 0.000000, 4708.800293
 531, 46.124264, 0.000000, 4708.800293
 532, 46.124264, 0.000000, 4708.800293
 533, 46.124264, 0.000000, 4708.800293
 534, 46.124264, 0.000000, 4708.800293
 535, 46.124264, 0.000000, 4708.800293
 536, 46.124264, 0.000000, 4708.800293
 537, 46.124264, 0.000000, 4708.800293
 538, 46.124264, 0.000000, 4708.800293
 539, 46.124264, 0.000000, 4708.800293
 540, 46.124264, 0.000000, 4708.800293
 541, 46.124264, 0.000000, 4708.800293
 542, 46.124264, 0.000000, 4708.800293
 543, 46.124264, 0.000000, 4708.800293
 544, 46.124264, 0.000000, 4708.800293
 545, 46.124264, 0.000000, 4708.800293
 546, 46.124264, 0.000000, 4708.800293
 547, 46.124264, 0.000000, 4708.800293
 548, 46.124264, 0.000000, 4708.800293
 549, 46.124264, 0.000000, 4708.800293
 550, 46.124264, 0.000000, 4708.800293
 551, 46.124264, 0.000000, 4708.800293
 552, 46.124264, 0.000000, 4708.800293
 553, 46.124264, 0.000000, 4708.800293
 554, 46.124264, 0.000000, 4708.800293
 555, 46.124264, 0.000000, 4708.800293
 556, 46.124264, 0.000000, 4708.800293
 557, 46.124264, 0.000000, 4708.800293
 558, 46.124264, 0.000000, 4708.800293
 559, 46.124264, 0.000000, 4708.800293
 560, 46.124264, 0.000000, 4708.800293
 561, 46.124264, 0.000000, 4708.800293
 562, 46.124264, 0.000000, 4708.800293
 563, 46.124264, 0.000000, 4708.800293
 564, 46.124264, 0.000000, 4708.800293
 565, 46.124264, 0.000000, 4708.800293
 566, 46.124264, 0.000000, 4708.800293
 567, 46.124264, 0.000000, 4708.800293
 568, 46.124264, 0.000000, 4708.800293
 569, 46.124264, 0.000000, 4708.800293
 570, 46.124264, 0.000000, 4708.800293
 571, 46.124264, 0.000000, 4708.800293
 572, 46.124264, 0.000000, 4708.800293
 573, 46.124264, 0.000000, 4708.800293
 574, 46.124264, 0.000000, 4708.800293
 575, 46.124264, 0.000000, 4708.800293
 576, 46.124264, 0.000000, 4708.800293
 577, 46.124264, 0.000000, 4708.800293
 578, 46.124264, 0.000000, 4708.800293
 579, 46.124264, 0.000000, 4708.800293
 580, 46.124264, 0.000000, 4708.800293
 581, 46.124264, 0.000000, 4708.800293
 582, 46.124264, 0.000000, 4708.800293
 583, 46.124264, 0.000000, 4708.800293
 584, 46.124264, 0.000000, 4708.800293
 585, 46.124264, 0.000000, 4708.800293
 586, 46.124264, 0.000000, 4708.800293
 587, 46.124264, 0.000000, 4708.800293
 588, 46.124264, 0.000000, 4708.800293
 589, 46.124264, 0.000000, 4708.800293
 590, 46.124264, 0.000000, 4708.800293
 591, 46.124264, 0.000000, 4708.800293
 592, 46.124264, 0.000000, 4708.800293
 593, 46.124264, 0.000000, 4708.800293
 594, 46.124264, 0.000000, 4708.800293
 595, 46.124264, 0.000000, 4708.800293
 596, 46.124264, 0.000000, 4708.800293
 597, 46.124264, 0.000000, 4708.800293
 598, 46.124264, 0.000000, 4708.800293
 599, 46.124264, 0.000000, 4708.800293
 600, 45.970516, -0.153748, 4674.975586
 601, 45.816769, -0.153748, 4674.975586
 602, 45.663021, -0.153748, 4674.975586
 603, 45.509274, -0.153748, 4674.975586
 604, 45.355526, -0.153748, 4674.975586
 605, 45.201778, -0.153748, 4674.975586
 606, 45.048031, -0.153748, 4674.975586
 607, 44.894283, -0.153748, 4674.975586
 608, 44.740536, -0.153748, 4674.975586
 609, 44.586788, -0.153748, 4674.975586
 610, 44.433041, -0.153748, 4674.975586
 611, 44.279293, -0.153748, 4674.975586
 612, 44.125546, -0.153748, 4674.975586
 613, 43.971798, -0.153748, 4674.975586
 614, 43.818050, -0.153748, 4674.975586
 615, 43.664303, -0.153748, 4674.975586
 616, 43.510555, -0.153748, 4674.975586
 617, 43.356808, -0.153748, 4674.975586
 618, 43.203060, -0.153748, 4674.975586
 619, 43.049313, -0.153748, 4674.975586
 620, 42.895565, -0.153748, 4674.975586
 621, 42.741817, -0.153748, 4674.975586
 622, 42.588070, -0.153748, 4674.975586
 623, 42.434322, -0.153748, 4674.975586
 624, 42.280575, -0.153748, 4674.975586
 625, 42.126827, -0.153748, 4674.975586
 626, 41.973080, -0.153748, 4674.975586
 627, 41.819332, -0.153748, 4674.975586
 628, 41.665585, -0.153748, 4674.975586
 629, 41.511837, -0.153748, 4674.975586
 630, 41.358089, -0.153748, 4674.975586
